iterations,run,kd_ms,nokd_ms
1000,1,6.241,18.144
1000,2,6.352,18.092
1000,3,6.397,17.843
1000,4,6.518,18.407
1000,5,5.757,18.204
AVG_1000,-,6.253,18.138
2000,1,13.546,66.720
2000,2,13.158,66.456
2000,3,14.196,66.759
2000,4,14.365,66.356
2000,5,13.120,66.943
AVG_2000,-,13.677,66.647
3000,1,21.670,144.553
3000,2,23.618,115.962
3000,3,11.921,68.373
3000,4,10.227,74.731
3000,5,10.782,69.144
AVG_3000,-,15.643,94.553
5000,1,18.657,180.447
5000,2,19.295,180.958
5000,3,18.593,188.060
5000,4,19.206,180.056
5000,5,19.152,187.671
AVG_5000,-,18.980,183.438
10000,1,48.409,703.576
10000,2,45.330,691.848
10000,3,50.267,688.598
10000,4,45.159,687.961
10000,5,44.474,689.962
AVG_10000,-,46.728,692.389
20000,1,116.006,2592.371
20000,2,116.586,2597.112
20000,3,113.851,2622.474
